company,contact,segment,pain_hypothesis,channel,motion,offer_id,status,next_action,next_action_date,priority,notes
الطاقة المتجددة,REPLACE:مدير مبيعات,energy,عروض أسعار لمشاريع طويلة بلا نظام,linkedin_manual,B,governed_diagnostic,not_contacted,مسودة LinkedIn warm,,medium,طاقة
المقاولات الحديثة,REPLACE:مدير مشاريع,construction,مشاريع فرعية بلا SOPs موحدة,email_warm,B,governed_diagnostic,not_contacted,مسودة email warm,,medium,مقاولات
الغذاء الصحي,REPLACE:مدير مبيعات,food_beverage,توزيع منتجات B2B بلا نظام,phone_task,B,ten_lead_audit,not_contacted,مكالمة 5 دقائق,,medium,F&B B2B
مصانع المستقبل,REPLACE:مدير عمليات,manufacturing,طلبات الإنتاج والمبيعات بلا ERP خفيف,email_warm,B,governed_diagnostic,not_contacted,مسودة email warm,,medium,تصنيع
السياحة العربية,REPLACE:مدير شراكات,travel,عقود شركات ومجموعات بلا CRM,email_warm,B,ten_lead_audit,not_contacted,مسودة email warm,,medium,سياحة B2B
التعليم المهني,REPLACE:مدير قبول وتسجيل,education,متابعة المتقدمين والشركات بلا نظام,linkedin_manual,B,ten_lead_audit,not_contacted,مسودة LinkedIn warm,,medium,تعليم مهني
الموارد البشرية الذكية,REPLACE:مدير مبيعات,hr_tech,إدارة حسابات الشركات بلا نظام,email_warm,B,governed_diagnostic,not_contacted,مسودة email warm,,medium,HR tech
منصة التوظيف,REPLACE:مدير نمو,hr_tech,Enterprise contracts بلا renewal system,linkedin_manual,B,ten_lead_audit,not_contacted,مسودة LinkedIn warm,,medium,توظيف
العقار الرقمي,REPLACE:مدير منتج,proptech,Leads من منصات متعددة بلا نظام,email_warm,B,ten_lead_audit,not_contacted,مسودة email warm,,medium,proptech
المزادات العقارية,REPLACE:مدير مبيعات,proptech,مزادات B2B بلا نظام مركزي,phone_task,B,governed_diagnostic,not_contacted,مكالمة استكشافية,,medium,مزادات
الإعلام الرقمي,REPLACE:مدير حسابات,media,حملات عملاء بلا reporting مركزي,email_warm,A,agency_proof_pack,not_contacted,مسودة email warm,,medium,إعلام رقمي
الرياضة الإلكترونية,REPLACE:مدير شراكات,esports,رعايات B2B بلا نظام,linkedin_manual,B,ten_lead_audit,not_contacted,مسودة LinkedIn warm,,medium,esports
الصحة الرقمية,REPLACE:مدير نمو,healthtech,إدارة leads B2B بلا CRM,email_warm,B,ten_lead_audit,not_contacted,مسودة email warm,,medium,healthtech
المدن الذكية,REPLACE:مدير مشاريع,govtech,مشاريع حكومية بلا SOPs واضحة,email_warm,D,executive_diagnostic,not_contacted,بريد لـ CEO,,high,govtech
الشراكات الاستراتيجية,REPLACE:مدير شراكات,enterprise_partner,شراكات كبرى تحتاج نظام إدارة,partner_intro,A,partner_sprint,not_contacted,Partner one-pager,,high,شريك استراتيجي
هدف استراتيجي 55,مدير حسابات 55,agency_partner,co-sell عميل واحد,phone_task,A,partner_sprint,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 55
هدف استراتيجي 56,مدير حسابات 56,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 56
هدف استراتيجي 57,مدير حسابات 57,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 57
هدف استراتيجي 58,مدير حسابات 58,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 58
هدف استراتيجي 59,مدير حسابات 59,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 59
هدف استراتيجي 60,مدير حسابات 60,retail,حملات موسمية بلا إغلاق,inbound,A,agency_proof_pack,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 60
هدف استراتيجي 61,مدير حسابات 61,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 61
هدف استراتيجي 62,مدير حسابات 62,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 62
هدف استراتيجي 63,مدير حسابات 63,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 63
هدف استراتيجي 64,مدير حسابات 64,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 64
هدف استراتيجي 65,مدير حسابات 65,government_vendor,مناقصات بلا owner متابعة,phone_task,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 65
هدف استراتيجي 66,مدير حسابات 66,insurance,وثائق leads بلا إغلاق,email_warm,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 66
هدف استراتيجي 67,مدير حسابات 67,telecom_b2b,حسابات enterprise بلا proof,linkedin_manual,D,executive_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 67
هدف استراتيجي 68,مدير حسابات 68,construction,عروض مشاريع بلا متابعة,phone_task,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 68
هدف استراتيجي 69,مدير حسابات 69,automotive_dealer,استفسارات showrooms,inbound,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 69
هدف استراتيجي 70,مدير حسابات 70,agency_wedge,العميل يسأل عن ROI بعد الحملة,inbound,A,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 70
هدف استراتيجي 71,مدير حسابات 71,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 71
هدف استراتيجي 72,مدير حسابات 72,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 72
هدف استراتيجي 73,مدير حسابات 73,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 73
هدف استراتيجي 74,مدير حسابات 74,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 74
هدف استراتيجي 75,مدير حسابات 75,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,phone_task,A,agency_proof_pack,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 75
هدف استراتيجي 76,مدير حسابات 76,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 76
هدف استراتيجي 77,مدير حسابات 77,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 77
هدف استراتيجي 78,مدير حسابات 78,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 78
هدف استراتيجي 79,مدير حسابات 79,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 79
هدف استراتيجي 80,مدير حسابات 80,executive_governance,مخاطر توسع AI,inbound,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 80
هدف استراتيجي 81,مدير حسابات 81,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 81
هدف استراتيجي 82,مدير حسابات 82,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 82
هدف استراتيجي 83,مدير حسابات 83,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 83
هدف استراتيجي 84,مدير حسابات 84,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 84
هدف استراتيجي 85,مدير حسابات 85,logistics,عروض B2B بلا evidence,phone_task,C,diagnostic_layer,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 85
هدف استراتيجي 86,مدير حسابات 86,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 86
هدف استراتيجي 87,مدير حسابات 87,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 87
هدف استراتيجي 88,مدير حسابات 88,government_vendor,مناقصات بلا owner متابعة,partner_intro,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 88
هدف استراتيجي 89,مدير حسابات 89,insurance,وثائق leads بلا إغلاق,email_warm,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 89
هدف استراتيجي 90,مدير حسابات 90,telecom_b2b,حسابات enterprise بلا proof,inbound,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 90
هدف استراتيجي 91,مدير حسابات 91,construction,عروض مشاريع بلا متابعة,phone_task,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 91
هدف استراتيجي 92,مدير حسابات 92,automotive_dealer,استفسارات showrooms,inbound,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 92
هدف استراتيجي 93,مدير حسابات 93,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 93
هدف استراتيجي 94,مدير حسابات 94,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 94
هدف استراتيجي 95,مدير حسابات 95,direct_b2b,متابعة أولى بطيئة,phone_task,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 95
هدف استراتيجي 96,مدير حسابات 96,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 96
هدف استراتيجي 97,مدير حسابات 97,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 97
هدف استراتيجي 98,مدير حسابات 98,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 98
هدف استراتيجي 99,مدير حسابات 99,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 99
هدف استراتيجي 100,مدير حسابات 100,real_estate_developer,جودة leads inbound,inbound,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 100
هدف استراتيجي 101,مدير حسابات 101,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 101
هدف استراتيجي 102,مدير حسابات 102,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 102
هدف استراتيجي 103,مدير حسابات 103,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 103
هدف استراتيجي 104,مدير حسابات 104,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 104
هدف استراتيجي 105,مدير حسابات 105,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 105
هدف استراتيجي 106,مدير حسابات 106,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 106
هدف استراتيجي 107,مدير حسابات 107,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 107
هدف استراتيجي 108,مدير حسابات 108,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 108
هدف استراتيجي 109,مدير حسابات 109,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 109
هدف استراتيجي 110,مدير حسابات 110,ecommerce,سلة متروكة بلا قرار إيراد,inbound,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 110
هدف استراتيجي 111,مدير حسابات 111,government_vendor,مناقصات بلا owner متابعة,partner_intro,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 111
هدف استراتيجي 112,مدير حسابات 112,insurance,وثائق leads بلا إغلاق,email_warm,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 112
هدف استراتيجي 113,مدير حسابات 113,telecom_b2b,حسابات enterprise بلا proof,linkedin_manual,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 113
هدف استراتيجي 114,مدير حسابات 114,construction,عروض مشاريع بلا متابعة,phone_task,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 114
هدف استراتيجي 115,مدير حسابات 115,automotive_dealer,استفسارات showrooms,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 115
هدف استراتيجي 116,مدير حسابات 116,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 116
هدف استراتيجي 117,مدير حسابات 117,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 117
هدف استراتيجي 118,مدير حسابات 118,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 118
هدف استراتيجي 119,مدير حسابات 119,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 119
هدف استراتيجي 120,مدير حسابات 120,crm_partner,تنفيذ CRM قبل التشخيص,inbound,C,diagnostic_layer,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 120
هدف استراتيجي 121,مدير حسابات 121,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 121
هدف استراتيجي 122,مدير حسابات 122,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 122
هدف استراتيجي 123,مدير حسابات 123,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 123
هدف استراتيجي 124,مدير حسابات 124,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 124
هدف استراتيجي 125,مدير حسابات 125,marketing_agency,ضغط inbound,phone_task,A,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 125
هدف استراتيجي 126,مدير حسابات 126,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 126
هدف استراتيجي 127,مدير حسابات 127,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 127
هدف استراتيجي 128,مدير حسابات 128,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 128
هدف استراتيجي 129,مدير حسابات 129,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 129
هدف استراتيجي 130,مدير حسابات 130,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 130
هدف استراتيجي 131,مدير حسابات 131,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 131
هدف استراتيجي 132,مدير حسابات 132,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 132
هدف استراتيجي 133,مدير حسابات 133,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 133
هدف استراتيجي 134,مدير حسابات 134,government_vendor,مناقصات بلا owner متابعة,partner_intro,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 134
هدف استراتيجي 135,مدير حسابات 135,insurance,وثائق leads بلا إغلاق,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 135
هدف استراتيجي 136,مدير حسابات 136,telecom_b2b,حسابات enterprise بلا proof,linkedin_manual,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 136
هدف استراتيجي 137,مدير حسابات 137,construction,عروض مشاريع بلا متابعة,phone_task,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 137
هدف استراتيجي 138,مدير حسابات 138,automotive_dealer,استفسارات showrooms,inbound,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 138
هدف استراتيجي 139,مدير حسابات 139,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 139
هدف استراتيجي 140,مدير حسابات 140,agency_wedge,لا proof أسبوعي للعميل,inbound,A,agency_proof_pack,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 140
هدف استراتيجي 141,مدير حسابات 141,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 141
هدف استراتيجي 142,مدير حسابات 142,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 142
هدف استراتيجي 143,مدير حسابات 143,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 143
هدف استراتيجي 144,مدير حسابات 144,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 144
هدف استراتيجي 145,مدير حسابات 145,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 145
