company,contact_title,sector,city,pain_angle,recommended_offer,email_hint,language_pref
أكاديمية الريادة للتدريب,مدير تطوير الأعمال,training_centers,مكة المكرمة,قائمة الانتظار للدورات الشائعة لا تُدار بكفاءة فيخسر المركز عائدًا,Growth Engine OS 499,sales@,ar
مركز الإبداع للتدريب التقني,المدير التنفيذي,training_centers,الخبر,عروض الشركات للتدريب المؤسسي تُكتَب يدويًا وتستغرق أسابيع,Growth Engine OS 499,corporate@,ar
معهد برايم للتدريب,مدير القبول والتسجيل,training_centers,الرياض,غياب متابعة منظمة بعد انتهاء الدورة يُضيع فرص التجديد والدورات التالية,Growth Engine OS 499,admissions@,ar
مركز تطوير القيادات,مدير التسويق,training_centers,جدة,المحتوى التسويقي لا يُقاس بعدد registrations فعليًا وينتهي بلا بيانات,Growth Engine OS 499,marketing@,ar
أكاديمية المستقبل التقنية,الرئيس التنفيذي,training_centers,الرياض,البرامج الجديدة لا تنطلق إلا بعد جمع عدد يدوي من المهتمين بدون pipeline,Growth Engine OS 499,info@,ar
معهد اللغة العربية للناطقين بغيرها,مدير القبول,training_centers,المدينة المنورة,الطلاب الدوليون يتواصلون بلغات متعددة بدون نظام استقبال منظم,Growth Engine OS 499,admissions@,ar
مركز القوة للتدريب الرياضي,صاحب المركز,training_centers,أبها,اشتراكات الأعضاء تُجدَّد يدويًا وتضيع إيرادات شهرية متكررة,Growth Engine OS 499,info@,ar
أكاديمية رؤية للتدريب والاستشارات,مدير الأكاديمية,training_centers,تبوك,الاستفسارات عن الدورات المؤسسية لا تُحوَّل لاقتراح رسمي في وقت مناسب,Growth Engine OS 499,info@,ar
مركز تميز لتدريب الكوادر,مدير العمليات,training_centers,بريدة,غياب تقرير أداء شهري للإدارة يصعِّب قرارات التوسع وإضافة برامج جديدة,Growth Engine OS 499,operations@,ar
وكالة إبداع للتسويق الرقمي,المدير التنفيذي,agencies,الرياض,تقارير العملاء تُكتَب يدوياً كل أسبوع وتستهلك ساعات من فريق الحسابات,Client Command Center 2999,info@,ar
وكالة المسار للإعلام والتسويق,مدير الحسابات,agencies,جدة,غياب Command Center موحد يجعل الوكالة تخسر عملاء لضعف الشفافية,Client Command Center 2999,accounts@,ar
شركة تألق للعلاقات العامة,المدير الإبداعي,agencies,الرياض,ملفات الحملات موزعة بين Drive وواتساب وأدوات متعددة بدون ربط,Client Command Center 2999,info@,ar
وكالة نقطة للتصميم والهوية,صاحب الوكالة,agencies,الدمام,عروض الأسعار للعملاء الجدد تستغرق 3-5 أيام لأن لا يوجد template موحد,Client Command Center 2999,hello@,ar
شركة الصدى للاستشارات الإعلامية,الرئيس التنفيذي,agencies,الرياض,تتبع نتائج الحملات يدوي ولا يصل للعميل في الوقت المناسب,Client Command Center 2999,ceo@,ar
وكالة أفكار للتسويق الإبداعي,مدير تطوير الأعمال,agencies,جدة,leads الوكالة تأتي من مصادر متعددة بدون نظام تأهيل وتحويل,Client Command Center 2999,bd@,ar
شركة كريتف للإنتاج الإعلامي,مدير الإنتاج,agencies,الرياض,الإنتاج يتأخر بسبب غياب نظام واضح لإدارة المهام والموافقات,Client Command Center 2999,info@,ar
وكالة لمسة للتصميم,المديرة التنفيذية,agencies,مكة المكرمة,تجديد العقود مع العملاء يُنسى ويُفقَد عملاء قدامى بدون سبب واضح,Client Command Center 2999,hello@,ar
شركة الأفكار الرقمية للتسويق,مدير الحسابات الرئيسية,agencies,الخبر,لا يوجد dashboard موحد لأداء جميع حسابات العملاء في مكان واحد,Client Command Center 2999,accounts@,ar
وكالة برق للتسويق الإلكتروني,الرئيس التنفيذي,agencies,الرياض,فريق المحتوى يعمل بدون تقويم محتوى موحد يُتابِع الموافقات والنشر,Client Command Center 2999,info@,ar
شركة آراء للاستشارات الإعلامية,مدير التسويق,agencies,جدة,تقديم نتائج الأداء للعملاء يستغرق يومين من التجميع اليدوي شهريًا,Client Command Center 2999,marketing@,ar
وكالة الصورة للإعلان والتسويق,مدير العمليات,agencies,الرياض,غياب سجل موحد للعقود والمدفوعات يُنشئ خلافات دورية مع العملاء,Client Command Center 2999,ops@,ar
وكالة مبدع للتسويق,مدير تطوير الأعمال,agencies,أبها,proposals للعملاء الجدد بدون نظام متابعة تُهدر 60% من الفرص بعد الإرسال,Client Command Center 2999,bd@,ar
مطاعم الأصالة السعودية,مدير العمليات,restaurants,الرياض,تقييمات جوجل سلبية بدون ردود منظمة + هدر في طلبات التموين الأسبوعية,Review OS + Ops Sprint,operations@,ar
سلسلة كافيه الضيافة,المدير التنفيذي,restaurants,جدة,طلبات الحجز والفعاليات تأتي عبر واتساب بدون تأكيد رسمي أو متابعة,Review OS + Ops Sprint,info@,ar
مطعم قصر النخيل,صاحب المطعم,restaurants,الرياض,لا يوجد نظام لرد دوري على تقييمات جوجل مما يضر بالتصنيف المحلي,Review OS + Ops Sprint,manager@,ar
فندق البوفيه الذهبي,مدير الأغذية والمشروبات,restaurants,الدمام,قوائم الطعام اليومية والمواسم لا تُدار رقمياً وتسبب هدرًا في المخزون,Review OS + Ops Sprint,fb@,ar
سلسلة مطاعم البيت اللبناني,مدير التشغيل,restaurants,جدة,الفروع المتعددة لا تُوحَّد بياناتها فلا تُعرَف الفروع الأعلى أداءً,Review OS + Ops Sprint,operations@,ar
مطعم أمواج للمأكولات البحرية,صاحب المطعم,restaurants,الخبر,شكاوى العملاء لا تُوثَّق ولا تُحلَّل فتتكرر نفس المشاكل أسبوعياً,Review OS + Ops Sprint,info@,ar
كافيه روضة التميز,مديرة العمليات,restaurants,الرياض,الطلبات الكبيرة والكيتيرينج تُدار يدويًا وتتسبب في أخطاء التسعير,Review OS + Ops Sprint,catering@,ar
مطعم الوادي للمشويات,مدير العلاقات العامة,restaurants,مكة المكرمة,التقييمات الإيجابية لا تُستثمَر في الحملات التسويقية لعدم وجود نظام,Review OS + Ops Sprint,marketing@,ar
سلسلة بيت الكنافة,المدير التنفيذي,restaurants,الرياض,لا يوجد نظام loyalty للعملاء المتكررين وتضيع فرص الاحتفاظ بهم,Review OS + Ops Sprint,info@,ar
مطعم الدرعية للمطبخ النجدي,مدير الفروع,restaurants,الرياض,إدارة الفروع تعتمد على مجموعات واتساب بدون مؤشرات أداء مركزية,Review OS + Ops Sprint,branches@,ar
كافيه مساء للقهوة المختصة,صاحب الكافيه,restaurants,جدة,الحسابات على منصات التوصيل لا تُدار بشكل موحد مع المبيعات المباشرة,Review OS + Ops Sprint,info@,ar
مطعم الزاوية التركية,مدير العمليات,restaurants,الدمام,هدر المشتريات اليومي لا يُحسَب ولا يُقارَن بالإيرادات الفعلية,Review OS + Ops Sprint,operations@,ar
سلسلة حلويات الأفراح,المدير التنفيذي,restaurants,بريدة,الطلبات المسبقة للمناسبات لا تُدار بنظام ويتكرر التأخر في التسليم,Review OS + Ops Sprint,orders@,ar
شركة سرعة للشحن والتوصيل,مدير المبيعات,logistics,الرياض,RFQ تتأخر + leads الشحن تضيع بدون pipeline واضح ومتابعة منظمة,Logistics Pipeline OS,sales@,ar
مجموعة الوصل اللوجستية,مدير تطوير الأعمال,logistics,جدة,عروض أسعار الشحن تُكتَب يدويًا وتستغرق يومين رغم أن المنافسين أسرع,Logistics Pipeline OS,bd@,ar
شركة الدقة للتخزين والتوزيع,المدير التنفيذي,logistics,الدمام,العملاء B2B لا يتلقون تقارير شحن منتظمة مما يضر بالعلاقة والتجديد,Logistics Pipeline OS,ceo@,ar
شركة الأمانة للنقل الدولي,مدير العمليات,logistics,الرياض,التتبع اليدوي للشحنات يستهلك وقت الفريق ويُنتج أخطاء في التقارير,Logistics Pipeline OS,ops@,ar
مجموعة الربيع للخدمات اللوجستية,مدير المستودعات,logistics,الخبر,جرد المستودعات يتم ورقيًا وتقاريره ترفع لا تعكس الواقع الفوري,Logistics Pipeline OS,warehouse@,ar
شركة نقل الثقات,مدير العملاء,logistics,تبوك,طلبات التوصيل الجديدة تصل بطرق متعددة بدون نظام استقبال موحد,Logistics Pipeline OS,info@,ar
شركة القافلة للشحن البري,مدير المبيعات,logistics,الرياض,عملاء التعاقد السنوي لا يُتابَعون قبيل انتهاء العقود فيذهبون للمنافسين,Logistics Pipeline OS,sales@,ar
شركة الإمداد الذكي,المدير التنفيذي,logistics,جدة,سلسلة التوريد للعملاء الكبار لا تُوثَّق بمؤشرات SLA واضحة,Logistics Pipeline OS,ceo@,ar
شركة الجسر للنقل الثقيل,مدير تطوير الأعمال,logistics,الدمام,فرص العقود الحكومية والمؤسسية تتطلب تقارير لا يملك الفريق نظامًا لإنتاجها,Logistics Pipeline OS,bd@,ar
مجموعة الحضارة للتوزيع والتخزين,مدير العمليات,logistics,الرياض,الفواتير تُصدَر بتأخير بسبب ربط يدوي بين عمليات الشحن وأنظمة المحاسبة,Logistics Pipeline OS,operations@,ar
شركة الخليج للشحن السريع,مدير العملاء,logistics,أبها,الرد على استفسارات عروض الأسعار يتجاوز 48 ساعة مما يُفقِد العقود,Logistics Pipeline OS,info@,ar
شركة مسافات للتوصيل الأخير,المدير التنفيذي,logistics,الرياض,مؤشرات On-Time Delivery لا تُقاس فلا تُعرَف نقاط الضعف الجغرافية,Logistics Pipeline OS,ceo@,ar
شركة الواحة للاستشارات الإدارية,مدير تطوير الأعمال,b2b_services,الرياض,عروض الأسعار تُكتَب يدوياً وبطيئة وغياب نظام متابعة ما بعد الإرسال,B2B Revenue Diagnostic 4999,bd@,ar
مؤسسة الريادة للموارد البشرية,المدير التنفيذي,b2b_services,جدة,ملفات العقلاء والمرشحين موزعة بدون pipeline رؤيوي واضح للإدارة,B2B Revenue Diagnostic 4999,ceo@,ar
شركة الأصيل للاستشارات المالية,شريك إداري,b2b_services,الرياض,العملاء المحتملون يطلبون نماذج خدمات لكن الرد يتأخر أسابيع,B2B Revenue Diagnostic 4999,info@,ar
مكتب الإتقان للخدمات القانونية,المدير التنفيذي,b2b_services,الدمام,إدارة ملفات العملاء تعتمد على مجلدات وورد بدون تتبع الحالة,B2B Revenue Diagnostic 4999,legal@,ar
شركة النخبة لخدمات الموارد البشرية,مدير الحسابات,b2b_services,الرياض,لا يوجد نظام تتبع لرضا عملاء الخدمات المستمرة فيُفاجأ بالإلغاء,B2B Revenue Diagnostic 4999,accounts@,ar
مجموعة ديلوفرز للاستشارات,شريك إداري,b2b_services,جدة,تقارير العملاء تُجمَع من مصادر متعددة يدويًا كل نهاية شهر,B2B Revenue Diagnostic 4999,info@,ar
شركة الشموخ للاستشارات الضريبية,مدير الضرائب,b2b_services,الرياض,متابعة مواعيد تقديم الإقرارات لعملاء متعددين تعتمد على جداول Excel,B2B Revenue Diagnostic 4999,tax@,ar
مؤسسة الأمانة للمحاسبة والتدقيق,مدير الشركاء,b2b_services,الدمام,الاستفسارات الجديدة لا تُصنَّف ولا تُحوَّل لعروض رسمية في وقت مناسب,B2B Revenue Diagnostic 4999,partners@,ar
شركة الريادة للحلول التقنية,مدير تطوير الأعمال,b2b_services,الرياض,فرص upsell للعملاء الحاليين لا تُحدَّد لغياب نظام متابعة الحسابات,B2B Revenue Diagnostic 4999,bd@,ar
مجموعة الإنجاز للخدمات الإدارية,المدير التنفيذي,b2b_services,الخبر,الفواتير والعقود تُعدَّل يدويًا بدون تتبع إلكتروني وتتسبب في نزاعات,B2B Revenue Diagnostic 4999,ceo@,ar
شركة الثقة لخدمات التوظيف,مدير العمليات,b2b_services,مكة المكرمة,طلبات التوظيف لا تُتابَع بشكل منتظم ويتأخر الرد على العملاء المؤسسيين,B2B Revenue Diagnostic 4999,ops@,ar
شركة البصيرة للاستشارات الاستراتيجية,شريك إداري,b2b_services,الرياض,عروض الأعمال للقطاع الحكومي تحتاج توثيقًا دقيقًا غير متوفر حاليًا,B2B Revenue Diagnostic 4999,info@,ar
مؤسسة النور للخدمات المحاسبية,مدير المشاريع,b2b_services,جدة,غياب dashboard موحد يجعل الإدارة لا تعرف حجم العمل الفعلي شهريًا,B2B Revenue Diagnostic 4999,projects@,ar
شركة البنيان للمقاولات العامة,مدير المشاريع,construction,الرياض,طلبات تسعير المشاريع تتضيع بين الواتساب والإيميل بدون نظام مركزي,Construction Ops Sprint,projects@,ar
مجموعة الإتقان للتشطيبات,مدير تطوير الأعمال,construction,جدة,عروض الأسعار لمشاريع التشطيب تأخذ أسبوعًا رغم أن العميل يقارن يوميًا,Construction Ops Sprint,bd@,ar
شركة الهندسة والتصميم المتقدم,الرئيس التنفيذي,construction,الدمام,تتبع مراحل المشاريع يعتمد على الاجتماعات الأسبوعية لا على نظام مرئي,Construction Ops Sprint,ceo@,ar
مؤسسة قمة للمقاولات,مدير العمليات,construction,الرياض,التغييرات في نطاق العمل لا تُوثَّق فتُفقَد إيرادات تعديلات المشروع,Construction Ops Sprint,ops@,ar
شركة الديار للهندسة المعمارية,المدير التصميمي,construction,مكة المكرمة,عقود العملاء والمراجعات تُدار عبر مجلدات مشتركة غير منظمة,Construction Ops Sprint,design@,ar
مجموعة الرافدين للإنشاءات,مدير المبيعات,construction,الخبر,leads المشاريع الكبيرة لا تُتابَع بما يكفي لأن الفريق مشغول بالتنفيذ,Construction Ops Sprint,sales@,ar
شركة العمران للتطوير والبناء,مدير المشاريع,construction,الرياض,تقارير التقدم للعملاء تُعدَّ يدويًا وتستغرق وقتًا من مديري المشاريع,Construction Ops Sprint,pm@,ar
مؤسسة الإبداع الهندسي,الرئيس التنفيذي,construction,تبوك,قائمة المشاريع المحتملة لا توجد بشكل رسمي وتعتمد على الشبكة الشخصية فقط,Construction Ops Sprint,info@,ar
شركة سمو للتشطيبات الداخلية,مدير المبيعات,construction,الرياض,عملاء الوحدات السكنية الجديدة لا يُتابَعون لعروض التشطيب في الوقت المناسب,Construction Ops Sprint,sales@,ar
مجموعة القصيم للمقاولات,مدير تطوير الأعمال,construction,بريدة,التنسيق بين فرق التصميم والتنفيذ والمشتريات يعتمد على واتساب حصرًا,Construction Ops Sprint,bd@,ar
شركة الجوهرة للبناء والتطوير,مدير العمليات,construction,جدة,استلام الدفعات يتأخر لأن شهادات الإنجاز لا تُعدَّ في الوقت المحدد,Construction Ops Sprint,ops@,ar
مؤسسة الهيكل الهندسي,مدير المشاريع,construction,الدمام,فرص المشاريع الحكومية تتطلب توثيقًا وخبرة سابقة لا يُدارها النظام الحالي,Construction Ops Sprint,pm@,ar
شركة البلد للتطوير والإنشاء,الرئيس التنفيذي,construction,أبها,غياب نظام يربط ميزانية المشروع بالإنفاق الفعلي يُنتج خسائر غير محسوبة,Construction Ops Sprint,ceo@,ar
فندق الضيافة السعودية,مدير التسويق والمبيعات,hospitality,الرياض,leads الحجوزات والفعاليات تحتاج رد فوري — التأخر يُفقد الحجوزات للمنافسين,Hospitality Revenue OS,reservations@,ar
منتجع الربوة الصحي,مدير العمليات,hospitality,أبها,حجوزات المجموعات والفعاليات تُدار يدويًا وتتداخل مع حجوزات الأفراد,Hospitality Revenue OS,events@,ar
شقق العروبة الفندقية,المدير التنفيذي,hospitality,جدة,غياب نظام CRM للضيوف يجعل تكرار الإقامة غير مُتابَع ولا يُحفَّز,Hospitality Revenue OS,reservations@,ar
قصر الضيافة للاجتماعات والمؤتمرات,مدير مبيعات الفعاليات,hospitality,الرياض,طلبات تأجير قاعات الاجتماعات تأتي عبر قنوات متعددة بدون pipeline مركزي,Hospitality Revenue OS,events@,ar
فندق الخليج الكبير,مدير الإيرادات,hospitality,الدمام,معدل الإشغال لا يُحسَّن لأن بيانات الحجوزات التاريخية غير متاحة للتحليل,Hospitality Revenue OS,revenue@,ar
منتجع نجد الجبلي,صاحب المنتجع,hospitality,أبها,الحجوزات عبر وسائل التواصل الاجتماعي لا تُدخَل منهجيًا في نظام الإدارة,Hospitality Revenue OS,bookings@,ar
شقق الإقامة المميزة,مدير العمليات,hospitality,الرياض,تقييمات Booking.com وجوجل لا تُرصَد ولا يُرد عليها في الوقت المناسب,Hospitality Revenue OS,ops@,ar
فندق المشاعر للحجاج والزوار,مدير العملاء,hospitality,مكة المكرمة,حجوزات الموسم الديني تُدار موسميًا بدون نظام يُحوِّلها لعلاقات سنوية,Hospitality Revenue OS,reservations@,ar
بيوت الضيافة العربية,المدير التنفيذي,hospitality,المدينة المنورة,مطبخ ضيوف المنازل الفندقية لا يُدار بنظام تغذية راجعة منتظم,Hospitality Revenue OS,info@,ar
منتجع جزيرة الخليج,مدير التسويق,hospitality,الخبر,حملات التسويق الموسمية لا تُربَط ببيانات الحجوزات الفعلية لقياس العائد,Hospitality Revenue OS,marketing@,ar
فندق التراث الوطني,مدير الإيرادات,hospitality,الرياض,باقات الأعمال والمجموعات لا تُوثَّق بـ pipeline مبيعاتي رسمي,Hospitality Revenue OS,sales@,ar
شقق الراحة الفندقية,مدير العمليات,hospitality,جدة,الشكاوى المكررة للضيوف لا تُحلَّل لتحسين الخدمة بشكل ممنهج,Hospitality Revenue OS,ops@,ar
نزل قوافل الصحراء,صاحب النزل,hospitality,تبوك,مجموعات السياحة المحلية لا تجد نظام حجز سهل فتذهب لخيارات أبسط,Hospitality Revenue OS,info@,ar
شركة تقنية المستقبل السعودية,مدير المنتج,saas,الرياض,inbound leads عربية بدون pipeline منظم وتضيع فرص التحويل,SaaS Growth Diagnostic,info@,en
منصة نبيه للأعمال,الرئيس التنفيذي,saas,الرياض,الـ free trial لا يُتحوَّل لاشتراك لأن متابعة onboarding غائبة,SaaS Growth Diagnostic,ceo@,en
شركة بيانات للحلول التحليلية,مدير المبيعات,saas,جدة,الاستفسارات الواردة عبر الموقع تبقى بدون رد لأيام وتُفقَد الفرصة,SaaS Growth Diagnostic,sales@,ar
منصة مسار للموارد البشرية,مدير تطوير الأعمال,saas,الرياض,المشترون B2B يطلبون demo ثم يختفون بدون نظام متابعة منتظم,SaaS Growth Diagnostic,bd@,en
شركة رقم للحلول الرقمية,الرئيس التنفيذي,saas,الدمام,قمع المبيعات غير مرئي للفريق الإداري — لا تقرير أسبوعي موحد,SaaS Growth Diagnostic,ceo@,ar
منصة تسهيل لإدارة المشاريع,مدير نجاح العملاء,saas,الرياض,العملاء المُعرَّضون للإلغاء لا يُحدَّدون مبكرًا فيتفاجأ الفريق بالإلغاء,SaaS Growth Diagnostic,success@,en
شركة كلاود تك السعودية,مدير المبيعات,saas,جدة,فريق المبيعات يدير الـ pipeline بجداول إكسل بدون visibility مشتركة,SaaS Growth Diagnostic,sales@,en
منصة وثيقة للتوثيق القانوني,الرئيس التنفيذي,saas,الرياض,leads الواردة من الإعلانات لا تُؤهَّل ويُهدَر ميزانية التسويق,SaaS Growth Diagnostic,ceo@,ar
شركة تتبع للحلول اللوجستية الرقمية,مدير تطوير الأعمال,saas,الدمام,الشراكات الاستراتيجية المحتملة لا تُتابَع لغياب نظام partner pipeline,SaaS Growth Diagnostic,partnerships@,en
منصة أداء لقياس الأداء المؤسسي,مدير المنتج,saas,الرياض,الميزات الجديدة لا تُرتَّب بناءً على طلبات العملاء المُوثَّقة,SaaS Growth Diagnostic,product@,en
شركة النظام الذكي للتقنية,الرئيس التنفيذي,saas,جدة,تجديد الاشتراكات السنوية لا يُتابَع استباقيًا فيُفاجأ بعدم التجديد,SaaS Growth Diagnostic,ceo@,ar
منصة ميزة لإدارة الميزانيات,مدير نجاح العملاء,saas,الرياض,لا يوجد نظام جمع feedback منتظم لتوجيه خارطة طريق المنتج,SaaS Growth Diagnostic,success@,en
شركة حوسبة للحلول السحابية,مدير المبيعات,saas,الخبر,المنافسون يردون على استفسارات العملاء بشكل أسرع رغم ضعف منتجهم,SaaS Growth Diagnostic,sales@,en
متجر ستايل هب للأزياء,مدير التجارة الإلكترونية,retail,الرياض,تقييمات وشكاوى المنصات بدون نظام متابعة تُضر بالتصنيف وتُفقِد المبيعات,Retail Review OS,ecom@,ar
مجموعة الخليج للمفروشات,مدير المبيعات,retail,جدة,عملاء الجملة لا يُتابَعون بشكل منتظم ويتناقص حجم الطلبات بدون إنذار,Retail Review OS,sales@,ar
متجر التقنية الذكية,مدير العمليات,retail,الرياض,المخزون لا يُدار رقميًا وتحدث أخطاء نفاد المخزون بشكل أسبوعي,Retail Review OS,operations@,ar
شركة الأناقة للأزياء النسائية,المديرة التنفيذية,retail,الدمام,شكاوى المقاسات والإرجاع تُدار يدويًا وتُعيق فريق خدمة العملاء,Retail Review OS,info@,ar
سلسلة الدانوب للتسوق,مدير المشتريات,retail,الرياض,الموردون الجدد لا يُقيَّمون منهجيًا قبل إضافتهم للسلسلة,Retail Review OS,procurement@,ar
متجر بالعربي للمنتجات التراثية,صاحب المتجر,retail,مكة المكرمة,الطلبات الدولية لا تُتابَع بنفس كفاءة الطلبات المحلية فتتراكم الشكاوى,Retail Review OS,info@,ar
شركة المنزل العصري للأثاث,مدير التسويق,retail,الرياض,الحملات الموسمية لا تُبنى على بيانات المبيعات السابقة فلا تُحسِّن الأداء,Retail Review OS,marketing@,ar
مجمع الجوهرة التجاري,مدير الخدمات,retail,جدة,تجار المجمع يشكون من غياب الدعم المركزي وتتراكم شكاواهم بدون نظام,Retail Review OS,management@,ar
متجر الإلكترونيات الذكية,مدير المبيعات,retail,الخبر,عروض الأسعار للشركات لا تُتابَع بعد الإرسال ويضيع العميل المؤسسي,Retail Review OS,sales@,ar
شركة فاشن ستريت للأزياء,مدير التجارة الإلكترونية,retail,الرياض,معدلات التخلي عن سلة الشراء مرتفعة بدون نظام متابعة آلية,Retail Review OS,ecom@,en
متجر الرياض للعطور والعود,صاحب المتجر,retail,الرياض,العملاء VIP لا يُعامَلون بشكل مختلف رغم حجم مشترياتهم المرتفع,Retail Review OS,info@,ar
سلسلة صيدليات الشفاء,مدير العمليات,retail,الدمام,طلبات التوريد اليومية لا تُتابَع بشكل رقمي وتحدث نواقص متكررة,Retail Review OS,ops@,ar
متجر ألوان للديكور والإكسسوار,مدير المبيعات,retail,جدة,المراجعات السلبية على جوجل وسناب شات بدون رد تُنفِّر العملاء الجدد,Retail Review OS,sales@,ar
مكتب الوضاح للمحاماة والاستشارات,شريك رئيسي,law_accounting,الرياض,استفسارات العملاء تضيع وعروض الأسعار بطيئة — فرص الاستشارات تذهب للمنافسين,Legal Ops OS,info@,ar
